,energy,limit
#0,9849178309808156.0,1.77243e-11
#1,3.235191553142082e+16,4.21084e-13
2,1.0153131241457586e+17,4.2381300000000004e-14
3,3.1145836540121414e+17,7.08376e-15
4,1e+18,1.5870200000000001e-15
5,3.1746803215678715e+18,4.95386e-16
6,1.0192952491349252e+19,1.6396599999999999e-16
7,3.235191553142082e+19,6.99371e-17
8,1.0153131241457585e+20,3.62559e-17
9,3.149923452784476e+20,1.99271e-17
