energy,limit
3.18228e+7, 1.35651e-15
3.71588e+7, 1.08799e-15
1.54568e+8, 1.02230e-16
9.27420e+8, 1.04241e-17
4.85028e+9, 2.12301e-18
5.15587e+9, 2.05698e-18
9.95256e+9, 1.16579e-18
3.16971e+10, 4.20939e-19
7.39546e+10, 2.22773e-19
8.69602e+10, 2.06390e-19
